,PM2.5,PM10,NO2,O3,CO,SO2,BC,NO,NOX,Overall_AQI_Level,Overall_AQI_Category
2019-06-27 00:00:00+05:30,2.7,4.3,1.1165555555555555,25.767222222222223,54.44166666666667,2.517333333333333,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-06-28 00:00:00+05:30,18.1,5.025,1.6713333333333331,38.64333333333333,81.5125,2.832,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-06-29 00:00:00+05:30,17.511764705882353,5.75,2.226111111111112,51.519444444444446,108.58333333333334,3.1466666666666665,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-06-30 00:00:00+05:30,16.923529411764708,6.475,2.780888888888889,64.39555555555556,135.6541666666667,3.461333333333333,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-01 00:00:00+05:30,16.33529411764706,7.199999999999999,3.335666666666667,77.27166666666666,162.72500000000002,3.776,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-02 00:00:00+05:30,15.747058823529413,7.925,3.890444444444445,90.14777777777778,189.79583333333335,4.0906666666666665,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-03 00:00:00+05:30,15.158823529411766,8.649999999999999,4.445222222222222,103.02388888888888,216.8666666666667,4.405333333333333,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-04 00:00:00+05:30,14.570588235294116,9.375,5.0,115.9,243.93750000000003,4.72,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-05 00:00:00+05:30,13.98235294117647,10.1,4.5921218,109.93333333333334,271.0083333333334,5.034666666666666,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-06 00:00:00+05:30,13.394117647058824,10.825,4.1842436,103.96666666666668,298.0791666666667,5.349333333333333,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-07 00:00:00+05:30,12.805882352941175,11.55,3.7763654,98.0,325.15000000000003,5.664,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-08 00:00:00+05:30,12.21764705882353,12.275,3.3684872,92.03333333333332,352.22083333333336,5.978666666666666,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-09 00:00:00+05:30,11.629411764705882,13.0,2.960609,86.06666666666666,379.29166666666674,6.293333333333333,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-10 00:00:00+05:30,11.041176470588235,14.42,6.3,80.10000000000001,406.36250000000007,6.608,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-11 00:00:00+05:30,10.452941176470588,15.84,6.368888888888889,74.13333333333334,433.4333333333334,6.922666666666666,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-12 00:00:00+05:30,9.86470588235294,17.259999999999998,6.437777777777778,68.16666666666667,460.5041666666667,7.237333333333333,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-13 00:00:00+05:30,9.276470588235291,18.68,6.506666666666667,62.2,487.5750000000001,7.552,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-14 00:00:00+05:30,8.688235294117646,20.1,6.575555555555556,56.23333333333333,514.6458333333334,7.866666666666666,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-15 00:00:00+05:30,8.1,21.52,6.644444444444444,50.266666666666666,541.7166666666667,8.181333333333333,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-16 00:00:00+05:30,15.55,22.94,6.713333333333333,44.30000000000001,568.7875,8.495999999999999,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-17 00:00:00+05:30,23.0,24.36,6.782222222222222,38.33333333333334,595.8583333333333,8.810666666666666,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-18 00:00:00+05:30,1.0,25.78,6.851111111111111,32.366666666666674,622.9291666666667,9.125333333333334,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-19 00:00:00+05:30,19.93,27.2,6.92,26.4,650.0,9.44,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-20 00:00:00+05:30,12.965,27.812368421052632,7.428,24.51442857142857,640.0,8.767742857142856,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-21 00:00:00+05:30,6.0,28.42473684210526,7.936,22.628857142857143,630.0,8.095485714285713,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-22 00:00:00+05:30,10.0,29.03710526315789,8.443999999999999,20.74328571428571,620.0,7.423228571428571,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-23 00:00:00+05:30,7.0,29.649473684210527,8.952,18.857714285714284,610.0,6.750971428571428,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-24 00:00:00+05:30,4.0,30.26184210526316,9.46,16.972142857142856,600.0,6.078714285714285,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-25 00:00:00+05:30,10.666666666666666,30.87421052631579,9.968,15.086571428571428,590.0,5.406457142857143,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-26 00:00:00+05:30,3.25,31.48657894736842,10.476,13.201,580.0,4.7342,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-27 00:00:00+05:30,16.125,32.09894736842105,10.984,11.315428571428573,570.0,4.061942857142856,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-28 00:00:00+05:30,29.0,32.71131578947369,11.492,9.42985714285714,560.0,3.3896857142857133,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-29 00:00:00+05:30,28.5,33.32368421052632,12.0,7.544285714285714,550.0,2.71742857142857,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-30 00:00:00+05:30,28.0,33.936052631578946,11.34,5.658714285714286,540.0,2.045171428571428,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-07-31 00:00:00+05:30,25.8225,34.54842105263158,10.68,3.773142857142858,530.0,1.3729142857142858,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-01 00:00:00+05:30,23.645,35.16078947368421,10.02,1.8875714285714305,520.0,0.7006571428571426,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-02 00:00:00+05:30,21.4675,35.77315789473684,9.36,0.002,510.0,0.0283999999999999,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-03 00:00:00+05:30,19.29,36.38552631578948,8.7,7.8636,500.0,1.6647200000000002,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-04 00:00:00+05:30,17.112499999999997,36.997894736842106,8.04,15.7252,490.0,3.3010400000000004,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-05 00:00:00+05:30,14.935,37.610263157894735,7.38,23.5868,480.0,4.937360000000001,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-06 00:00:00+05:30,12.7575,38.22263157894737,6.72,31.4484,470.0,6.573680000000001,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-07 00:00:00+05:30,10.58,38.835,6.06,39.31,460.0,8.21,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-08 00:00:00+05:30,9.29,35.368,7.115,31.45725882352941,211.25,4.961250000000001,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-09 00:00:00+05:30,8.0,31.901,8.17,23.604517647058824,-37.5,1.7125,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-08-10 00:00:00+05:30,9.5,28.434,9.225,15.751776470588233,77.08333333333333,1.1417777777777776,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-11 00:00:00+05:30,11.0,24.967,10.28,7.899035294117645,191.66666666666663,0.5710555555555554,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-12 00:00:00+05:30,10.388888888888888,21.5,11.335,0.0462941176470588,306.25,0.0003333333333333,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-13 00:00:00+05:30,10.669444444444444,25.83333333333333,12.39,48.19752941176471,420.8333333333333,2.0002222222222223,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-14 00:00:00+05:30,10.95,30.166666666666664,13.445,96.34876470588236,535.4166666666666,4.000111111111111,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-15 00:00:00+05:30,20.5,34.5,14.5,144.5,650.0,6.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-16 00:00:00+05:30,23.0,37.6,12.8,157.2,0.0,5.8,0.1722556788728149,0.0070212183528934,0.012899,5,Very Unhealthy
2019-08-17 00:00:00+05:30,25.5,40.7,11.1,169.9,250.0,5.6,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-18 00:00:00+05:30,28.0,43.8,9.4,182.6,500.0,5.4,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-08-19 00:00:00+05:30,29.0,46.9,7.7,195.3,750.0,5.2,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
